Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4243,0,450.0,434.01253214706435,14.690144000269356,1214.4523070001014,48.70044779637049,101.13435642569353,0.0,450,490,510,540,590,640,710,750,1000,1200,1200
,Aggregated,4243,0,450.0,434.01253214706435,14.690144000269356,1214.4523070001014,48.70044779637049,101.13435642569353,0.0,450,490,510,540,590,640,710,750,1000,1200,1200
