Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766953321,50,,Aggregated,94.500000,0.000000,440,480,500,520,590,640,730,890,1000,1200,1200,3019,0,440.0,413.9532268310682,14.690144000269356,1214.4523070001014,48.70420669095727
1766953322,50,,Aggregated,94.800000,0.000000,440,480,500,520,590,640,730,890,1000,1200,1200,3123,0,440.0,416.6256010851711,14.690144000269356,1214.4523070001014,48.70284982388729
1766953323,50,,Aggregated,94.900000,0.000000,440,480,500,520,590,640,720,880,1000,1200,1200,3214,0,440.0,418.490126042315,14.690144000269356,1214.4523070001014,48.70441817050404
1766953324,50,,Aggregated,95.500000,0.000000,440,480,500,520,590,640,720,870,1000,1200,1200,3330,0,440.0,420.4477739921892,14.690144000269356,1214.4523070001014,48.705705705705704
1766953325,50,,Aggregated,95.800000,0.000000,450,480,500,520,590,640,720,870,1000,1200,1200,3421,0,450.0,421.96010380853664,14.690144000269356,1214.4523070001014,48.703887752119265
1766953326,50,,Aggregated,94.800000,0.000000,450,480,500,530,590,640,720,860,1000,1200,1200,3526,0,450.0,424.0595623672757,14.690144000269356,1214.4523070001014,48.7033465683494
1766953327,50,,Aggregated,96.300000,0.000000,450,480,510,530,590,640,720,850,1000,1200,1200,3620,0,450.0,425.4033865096739,14.690144000269356,1214.4523070001014,48.70414364640884
1766953328,50,,Aggregated,99.600000,0.000000,450,490,510,530,590,640,710,840,1000,1200,1200,3726,0,450.0,427.02477332018645,14.690144000269356,1214.4523070001014,48.70531400966183
1766953329,50,,Aggregated,101.900000,0.000000,450,490,510,530,590,640,710,800,1000,1200,1200,3824,0,450.0,429.5801074061214,14.690144000269356,1214.4523070001014,48.70371338912134
1766953330,50,,Aggregated,101.300000,0.000000,450,490,510,530,590,640,710,790,1000,1200,1200,3921,0,450.0,431.12118780872623,14.690144000269356,1214.4523070001014,48.70237184391737
1766953331,50,,Aggregated,102.000000,0.000000,450,490,510,530,590,640,710,780,1000,1200,1200,4036,0,450.0,432.62612812834556,14.690144000269356,1214.4523070001014,48.70317145688801
