Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,13559,13559,4,4.023920284458564,0.3536179992806865,22.701608000716078,0.0,1934.1731287027849,1934.1731287027849,4,5,6,6,7,8,9,10,21,23,23
,Aggregated,13559,13559,4,4.023920284458564,0.3536179992806865,22.701608000716078,0.0,1934.1731287027849,1934.1731287027849,4,5,6,6,7,8,9,10,21,23,23
